County,County Code,Year,Year Code,Births,Total Population,Birth Rate
"Benton County, AR",5007,2020,2020,3661,288774,12.68
"Faulkner County, AR",5045,2020,2020,1494,126919,11.77
"Pulaski County, AR",5119,2010,2010,5763,382748,15.06
"Pulaski County, AR",5119,2020,2020,5041,392980,12.83
"Saline County, AR",5125,2020,2020,1285,123968,10.37
"Sebastian County, AR",5131,2010,2010,1738,125744,13.82
"Sebastian County, AR",5131,2020,2020,1550,127590,12.15
"Washington County, AR",5143,2010,2010,3213,203065,15.82
"Washington County, AR",5143,2020,2020,3086,243216,12.69
"Unidentified Counties, AR",5999,2010,2010,24612,1983022,12.41
"Unidentified Counties, AR",5999,2020,2020,19134,1727075,11.08
"Alameda County, CA",6001,2010,2010,19306,1510271,12.78
"Alameda County, CA",6001,2020,2020,17316,1662323,10.42
"Butte County, CA",6007,2010,2010,2457,220000,11.17
"Butte County, CA",6007,2020,2020,1991,212744,9.36
"Contra Costa County, CA",6013,2010,2010,12358,1049025,11.78
"Contra Costa County, CA",6013,2020,2020,11760,1152333,10.21
"El Dorado County, CA",6017,2010,2010,1621,181058,8.95
"El Dorado County, CA",6017,2020,2020,1465,192925,7.59
"Fresno County, CA",6019,2010,2010,16283,930450,17.5
"Fresno County, CA",6019,2020,2020,13825,1000918,13.81
"Humboldt County, CA",6023,2010,2010,1551,134623,11.52
"Humboldt County, CA",6023,2020,2020,1265,134977,9.37
"Imperial County, CA",6025,2010,2010,3081,174528,17.65
"Imperial County, CA",6025,2020,2020,2329,180267,12.92
"Kern County, CA",6029,2010,2010,14419,839631,17.17
"Kern County, CA",6029,2020,2020,12356,901362,13.71
"Kings County, CA",6031,2010,2010,2509,152982,16.4
"Kings County, CA",6031,2020,2020,2252,152692,14.75
"Los Angeles County, CA",6037,2010,2010,133252,9818605,13.57
"Los Angeles County, CA",6037,2020,2020,98060,9943046,9.86
"Madera County, CA",6039,2010,2010,2434,150865,16.13
"Madera County, CA",6039,2020,2020,2097,157761,13.29
"Marin County, CA",6041,2010,2010,2371,252409,9.39
"Marin County, CA",6041,2020,2020,2078,257332,8.08
"Merced County, CA",6047,2010,2010,4249,255793,16.61
"Merced County, CA",6047,2020,2020,3732,279252,13.36
"Monterey County, CA",6053,2010,2010,6765,415057,16.3
"Monterey County, CA",6053,2020,2020,5575,430906,12.94
"Napa County, CA",6055,2010,2010,1525,136484,11.17
"Napa County, CA",6055,2020,2020,1207,135965,8.88
"Orange County, CA",6059,2010,2010,38250,3010232,12.71
"Orange County, CA",6059,2020,2020,31014,3166857,9.79
"Placer County, CA",6061,2010,2010,3825,348432,10.98
"Placer County, CA",6061,2020,2020,3494,402950,8.67
"Riverside County, CA",6065,2010,2010,30670,2189641,14.01
"Riverside County, CA",6065,2020,2020,26955,2489188,10.83
"Sacramento County, CA",6067,2010,2010,20056,1418788,14.14
"Sacramento County, CA",6067,2020,2020,18032,1559146,11.57
"San Bernardino County, CA",6071,2010,2010,31368,2035210,15.41
"San Bernardino County, CA",6071,2020,2020,26706,2189183,12.2
"San Diego County, CA",6073,2010,2010,44867,3095313,14.5
"San Diego County, CA",6073,2020,2020,37161,3332427,11.15
"San Francisco County, CA",6075,2010,2010,8806,805235,10.94
"San Francisco County, CA",6075,2020,2020,8014,866606,9.25
"San Joaquin County, CA",6077,2010,2010,10596,685306,15.46
"San Joaquin County, CA",6077,2020,2020,9690,767967,12.62
"San Luis Obispo County, CA",6079,2010,2010,2735,269637,10.14
"San Luis Obispo County, CA",6079,2020,2020,2360,282249,8.36
"San Mateo County, CA",6081,2010,2010,9194,718451,12.8
"San Mateo County, CA",6081,2020,2020,7716,758308,10.18
"Santa Barbara County, CA",6083,2010,2010,5821,423895,13.73
"Santa Barbara County, CA",6083,2020,2020,5344,444766,12.02
"Santa Clara County, CA",6085,2010,2010,23940,1781642,13.44
"Santa Clara County, CA",6085,2020,2020,19575,1907105,10.26
"Santa Cruz County, CA",6087,2010,2010,3192,262382,12.17
"Santa Cruz County, CA",6087,2020,2020,2189,269925,8.11
"Shasta County, CA",6089,2010,2010,2136,177223,12.05
"Shasta County, CA",6089,2020,2020,1841,179027,10.28
"Solano County, CA",6095,2010,2010,5050,413344,12.22
"Solano County, CA",6095,2020,2020,4957,446935,11.09
"Sonoma County, CA",6097,2010,2010,5393,483878,11.15
"Sonoma County, CA",6097,2020,2020,4312,489819,8.8
"Stanislaus County, CA",6099,2010,2010,7806,514453,15.17
"Stanislaus County, CA",6099,2020,2020,7118,550081,12.94
"Tulare County, CA",6107,2010,2010,8155,442179,18.44
"Tulare County, CA",6107,2020,2020,6658,468680,14.21
"Ventura County, CA",6111,2010,2010,11150,823318,13.54
"Ventura County, CA",6111,2020,2020,8241,841387,9.79
"Yolo County, CA",6113,2010,2010,2427,200849,12.08
"Yolo County, CA",6113,2020,2020,1957,219728,8.91
"Unidentified Counties, CA",6999,2010,2010,10580,932767,11.34
"Unidentified Counties, CA",6999,2020,2020,9617,940941,10.22
"Adams County, CO",8001,2010,2010,6786,441603,15.37
"Adams County, CO",8001,2020,2020,6034,519883,11.61
"Arapahoe County, CO",8005,2010,2010,7512,572003,13.13
"Arapahoe County, CO",8005,2020,2020,7307,657452,11.11
"Boulder County, CO",8013,2010,2010,3059,294567,10.38
"Boulder County, CO",8013,2020,2020,2459,327171,7.52
"Denver County, CO",8031,2010,2010,10375,600158,17.29
"Denver County, CO",8031,2020,2020,9195,735538,12.5
"Douglas County, CO",8035,2010,2010,3548,285465,12.43
"Douglas County, CO",8035,2020,2020,3474,360750,9.63
"El Paso County, CO",8041,2010,2010,9159,622263,14.72
"El Paso County, CO",8041,2020,2020,9180,728310,12.6
"Jefferson County, CO",8059,2010,2010,5637,534543,10.55
"Jefferson County, CO",8059,2020,2020,5500,583283,9.43
"Larimer County, CO",8069,2010,2010,3351,299630,11.18
"Larimer County, CO",8069,2020,2020,2946,360428,8.17
"Mesa County, CO",8077,2010,2010,1905,146723,12.98
"Mesa County, CO",8077,2020,2020,1524,155603,9.79
"Pueblo County, CO",8101,2010,2010,1940,159063,12.2
"Pueblo County, CO",8101,2020,2020,1715,169823,10.1
"Weld County, CO",8123,2010,2010,3792,252825,15
"Weld County, CO",8123,2020,2020,4350,333983,13.02
"Unidentified Counties, CO",8999,2010,2010,9291,820353,11.33
"Unidentified Counties, CO",8999,2020,2020,7810,875495,8.92
"Fairfield County, CT",9001,2010,2010,10540,916829,11.5
"Fairfield County, CT",9001,2020,2020,9430,942426,10.01
"Hartford County, CT",9003,2010,2010,9736,894014,10.89
"Hartford County, CT",9003,2020,2020,8693,889226,9.78
"Litchfield County, CT",9005,2010,2010,1586,189927,8.35
"Litchfield County, CT",9005,2020,2020,1341,179610,7.47
"Middlesex County, CT",9007,2010,2010,1486,165676,8.97
"Middlesex County, CT",9007,2020,2020,1246,161657,7.71
"New Haven County, CT",9009,2010,2010,9223,862477,10.69
"New Haven County, CT",9009,2020,2020,8226,851948,9.66
"New London County, CT",9011,2010,2010,2757,274055,10.06
"New London County, CT",9011,2020,2020,2380,264999,8.98
"Tolland County, CT",9013,2010,2010,1208,152691,7.91
"Tolland County, CT",9013,2020,2020,1153,150600,7.66
"Windham County, CT",9015,2010,2010,1172,118428,9.9
"Windham County, CT",9015,2020,2020,991,116540,8.5
"Kent County, DE",10001,2010,2010,2227,162310,13.72
"Kent County, DE",10001,2020,2020,2096,183643,11.41
"New Castle County, DE",10003,2010,2010,6867,538479,12.75
"New Castle County, DE",10003,2020,2020,6116,561531,10.89
"Sussex County, DE",10005,2010,2010,2270,197145,11.51
"Sussex County, DE",10005,2020,2020,2180,241635,9.02
"District of Columbia, DC",11001,2010,2010,9165,601723,15.23
"District of Columbia, DC",11001,2020,2020,8874,712816,12.45
"Alachua County, FL",12001,2010,2010,2866,247336,11.59
"Alachua County, FL",12001,2020,2020,2551,271218,9.41
"Bay County, FL",12005,2010,2010,2205,168852,13.06
"Bay County, FL",12005,2020,2020,1896,171322,11.07
"Brevard County, FL",12009,2010,2010,4967,543376,9.14
"Brevard County, FL",12009,2020,2020,4922,608459,8.09
"Broward County, FL",12011,2010,2010,21349,1748066,12.21
"Broward County, FL",12011,2020,2020,19946,1958105,10.19
"Charlotte County, FL",12015,2010,2010,1014,159978,6.34
"Charlotte County, FL",12015,2020,2020,1043,194711,5.36
"Citrus County, FL",12017,2010,2010,1043,141236,7.38
"Citrus County, FL",12017,2020,2020,1055,153010,6.89
"Clay County, FL",12019,2010,2010,2135,190865,11.19
"Clay County, FL",12019,2020,2020,2107,221770,9.5
"Collier County, FL",12021,2010,2010,3339,321520,10.39
"Collier County, FL",12021,2020,2020,3166,392973,8.06
"Duval County, FL",12031,2010,2010,12618,864263,14.6
"Duval County, FL",12031,2020,2020,12495,966728,12.93
"Escambia County, FL",12033,2010,2010,3925,297619,13.19
"Escambia County, FL",12033,2020,2020,3731,322364,11.57
"Hernando County, FL",12053,2010,2010,1461,172778,8.46
"Hernando County, FL",12053,2020,2020,1589,198792,7.99
