fips,TOT_POP_1519_C,TOT_POP_2024_C,TOT_POP_2529_C,TOT_POP_3034_C,TOT_POP_3539_C,TOT_FEMALE_1519_C,TOT_FEMALE_2024_C,TOT_FEMALE_2529_C,TOT_FEMALE_3034_C,TOT_FEMALE_3539_C,WA_FEMALE_1519_C,WA_FEMALE_2024_C,WA_FEMALE_2529_C,WA_FEMALE_3034_C,WA_FEMALE_3539_C,BA_FEMALE_1519_C,BA_FEMALE_2024_C,BA_FEMALE_2529_C,BA_FEMALE_3034_C,BA_FEMALE_3539_C,H_FEMALE_1519_C,H_FEMALE_2024_C,H_FEMALE_2529_C,H_FEMALE_3034_C,H_FEMALE_3539_C,NHWA_FEMALE_1519_C,NHWA_FEMALE_2024_C,NHWA_FEMALE_2529_C,NHWA_FEMALE_3034_C,NHWA_FEMALE_3539_C,NHBA_FEMALE_1519_C,NHBA_FEMALE_2024_C,NHBA_FEMALE_2529_C,NHBA_FEMALE_3034_C,NHBA_FEMALE_3539_C,dem2010_P,birth_rate_2010_N,births_2010_N,birth_rate_2020_N,births_2020_N,NHWA_FEMALE_2034_share_X,NHBA_FEMALE_2034_share_X,H_FEMALE_2034_share_X,race_category_X,regime_X,pol_group_X,reg_Minority_majority_X,reg_Mixed_Competitive_X,reg_Mixed_Democratic_X,reg_Mixed_Republican_X,reg_White_Competitive_X,reg_White_Democratic_X,reg_White_Republican_X
8005,38401,35271,42817,41516,41835,18584,17564,21480,20786,21067,13694,13353,16722,16059,16188,2557,2188,2373,2421,2372,4444,4190,4598,4745,4373,9961,9790,12795,11939,12355,2296,1968,2120,2207,2174,0.5479711333367507,13.13,7512.0,11.11,7307.0,0.5770349323082066,0.10521477519638978,0.22619087414340633,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
8013,22949,29354,20208,19171,20177,11248,13409,9500,9436,9934,10180,12198,8508,8469,8858,104,139,105,84,91,1841,1739,1600,1580,1463,8513,10608,7045,7014,7503,78,125,80,58,68,0.7098701742063462,10.38,3059.0,7.52,2459.0,0.7626217344257227,0.008131086721286134,0.15207914669964445,White,White_Democratic,Democratic,False,False,False,False,False,True,False
8031,32275,47688,65841,56989,49183,16164,24238,32814,27555,22890,11804,19415,27458,22782,18655,2426,2223,2313,2210,2060,7633,7592,8181,7894,7148,5134,12831,20261,15791,12279,2148,1953,2021,1963,1854,0.7452213572541337,17.29,10375.0,12.5,9195.0,0.577765433120191,0.07017149881215502,0.2797286276549222,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
8035,18905,10037,14184,18940,24918,9061,5042,7468,10059,12727,8267,4629,6808,9103,11567,142,76,71,99,128,967,528,640,822,1008,7405,4157,6237,8360,10656,120,61,60,80,116,0.3858165480875954,12.43,3548.0,9.63,3474.0,0.8309628251140946,0.008906021533962515,0.08817404404271345,White,White_Republican,Republican,False,False,False,False,False,False,True
8041,46175,49000,46657,40830,40534,21661,22417,22705,20303,20309,17469,18515,18875,16864,17099,1705,1674,1542,1386,1268,4110,4040,4062,3548,3299,14226,15254,15548,14018,14392,1422,1421,1286,1143,1078,0.3919960579576916,14.72,9159.0,12.6,9180.0,0.6850592281238059,0.0588460068781047,0.1780664883454337,White,White_Republican,Republican,False,False,False,False,False,False,True
8059,35312,31415,33407,32394,34340,16705,14707,16164,15862,16975,15055,13325,14727,14453,15515,232,188,185,191,196,3310,2934,2959,2921,2780,12199,10767,12135,11870,13035,172,135,129,141,153,0.5240596868489127,10.55,5637.0,9.43,5500.0,0.7440566623157084,0.008666252968994074,0.1886033423918858,White,White_Competitive,Competitive,False,False,False,False,True,False,False
8069,22754,29975,22334,19797,18842,11468,14634,10711,9568,9063,10555,13595,9982,8861,8418,149,186,70,78,60,1577,1632,1330,1173,1037,9184,12170,8811,7820,7509,125,157,53,61,43,0.5273148195378665,11.18,3351.0,8.17,2946.0,0.824936270157248,0.007762151634061811,0.11843725832784349,White,White_Competitive,Competitive,False,False,False,False,True,False,False
8077,10259,10088,10095,9081,8390,4975,4945,4859,4376,4032,4601,4599,4578,4125,3792,49,65,33,32,25,915,807,735,662,609,3804,3901,3933,3560,3263,35,49,24,14,12,0.3358419139090529,12.98,1905.0,9.79,1524.0,0.8035260930888576,0.00613540197461213,0.1554301833568406,White,White_Republican,Republican,False,False,False,False,False,False,True
8101,11594,10037,9580,9362,9357,5527,4979,4852,4710,4673,4913,4444,4374,4254,4260,164,144,115,112,89,2721,2320,2271,2174,2008,2497,2395,2368,2327,2447,117,104,71,66,58,0.5629412793100751,12.2,1940.0,10.1,1715.0,0.48758682346468607,0.01657382573413108,0.46523622859500724,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
8123,19883,18854,17201,17714,17733,9927,9543,8466,8754,8716,9135,8790,7898,8240,8215,171,186,121,71,72,3529,2801,2584,2566,2544,5942,6234,5512,5873,5872,102,144,84,42,37,0.4350247552957084,15.0,3792.0,13.02,4350.0,0.6583342674588051,0.010088555094720323,0.2970892650300788,White,White_Competitive,Competitive,False,False,False,False,True,False,False
