fips,TOT_POP_1519_C,TOT_POP_2024_C,TOT_POP_2529_C,TOT_POP_3034_C,TOT_POP_3539_C,TOT_FEMALE_1519_C,TOT_FEMALE_2024_C,TOT_FEMALE_2529_C,TOT_FEMALE_3034_C,TOT_FEMALE_3539_C,WA_FEMALE_1519_C,WA_FEMALE_2024_C,WA_FEMALE_2529_C,WA_FEMALE_3034_C,WA_FEMALE_3539_C,BA_FEMALE_1519_C,BA_FEMALE_2024_C,BA_FEMALE_2529_C,BA_FEMALE_3034_C,BA_FEMALE_3539_C,H_FEMALE_1519_C,H_FEMALE_2024_C,H_FEMALE_2529_C,H_FEMALE_3034_C,H_FEMALE_3539_C,NHWA_FEMALE_1519_C,NHWA_FEMALE_2024_C,NHWA_FEMALE_2529_C,NHWA_FEMALE_3034_C,NHWA_FEMALE_3539_C,NHBA_FEMALE_1519_C,NHBA_FEMALE_2024_C,NHBA_FEMALE_2529_C,NHBA_FEMALE_3034_C,NHBA_FEMALE_3539_C,dem2020_P,birth_rate_2020_N,births_2020_N,NHWA_FEMALE_2034_share_X,NHBA_FEMALE_2034_share_X,H_FEMALE_2034_share_X,race_category_X,regime_X,pol_group_X,reg_Minority_majority_X,reg_Mixed_Competitive_X,reg_Mixed_Democratic_X,reg_Mixed_Republican_X,reg_White_Competitive_X,reg_White_Democratic_X,reg_White_Republican_X
4013,296395,287477,324128,316778,301613,143990,140603,159605,155097,148192,114616,111468,125885,121829,117515,10554,10424,12531,12011,10938,60985,57227,57410,50734,47303,60107,60165,74325,76544,75002,8919,8982,11012,10505,9588,0.5032405867289705,10.78,49365.0,0.4635002910137161,0.06698586661688319,0.36320927729763564,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
4015,9812,8927,10690,10825,9902,4688,4182,4945,5108,4703,4092,3636,4406,4531,4189,71,63,57,72,57,1357,1182,1143,998,902,2922,2615,3408,3673,3371,49,47,50,53,51,0.2372358313906829,7.87,1710.0,0.6811380400421496,0.01053740779768177,0.23343870741131015,White,White_Republican,Republican,False,False,False,False,False,False,True
4019,69207,88085,72141,61432,62244,34239,43426,34577,29147,30439,27580,34893,28130,23720,25196,1651,1949,1649,1571,1286,16304,18905,15197,11994,12754,13323,18171,14564,13067,13803,1223,1566,1307,1229,1008,0.5860544930120658,9.47,10050.0,0.4274568362109193,0.038282781147923474,0.4302006532897807,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
4021,25181,23301,26856,28492,29026,11924,9955,11288,12349,12966,9242,7658,8964,9825,10522,786,684,644,777,790,4832,4074,4072,4146,4117,5135,4161,5469,6263,6965,670,602,547,643,674,0.4060354428189908,9.67,4650.0,0.47311859966658726,0.053346034770183376,0.3659204572517266,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
4025,11583,10261,10672,10600,10663,5315,4769,5123,5263,5187,4684,4218,4638,4804,4784,67,75,51,59,53,1440,1171,1151,1128,1041,3462,3193,3619,3789,3844,52,58,40,39,38,0.3463318926693711,7.03,1689.0,0.6995051138238205,0.00903992081821181,0.22764764104256022,White,White_Republican,Republican,False,False,False,False,False,False,True
4027,14485,16188,14772,13408,12206,6884,6486,6526,6139,5587,6248,5868,5928,5599,5060,165,160,176,131,121,5637,5043,5062,4457,4042,915,1065,1124,1378,1239,87,109,108,76,80,0.4609264320773887,13.68,2980.0,0.18625659234504727,0.015299462169077334,0.7603780481437,Hispanic,Minority_majority,Competitive,True,False,False,False,False,False,False
5007,19281,16340,20496,21522,22062,9377,8146,10159,10468,10589,8233,7145,8590,8827,9176,169,187,252,244,299,2398,2062,2125,1830,1722,6018,5218,6607,7127,7566,141,156,217,213,273,0.3523333778103943,12.68,3661.0,0.6586730615507594,0.020366315643137664,0.20911966079310465,White,White_Republican,Republican,False,False,False,False,False,False,True
5119,24055,25833,29372,28474,27196,11680,12933,15235,14999,14054,5467,6054,7697,7960,7414,5433,6030,6622,6086,5923,1256,1317,1319,1176,1077,4384,4867,6534,6898,6438,5346,5957,6542,6041,5871,0.5998434889030102,12.83,5041.0,0.42391178446498484,0.42949475293627076,0.08830819839229041,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
5131,8329,8050,8605,8369,7955,4097,3999,4297,4219,3957,3187,3122,3451,3384,3208,298,311,329,323,287,928,853,747,591,595,2376,2352,2771,2859,2666,282,303,319,304,276,0.3073186253712346,12.15,1550.0,0.6377946464242908,0.07399121054734319,0.17506991610067918,White,White_Republican,Republican,False,False,False,False,False,False,True
5143,20086,25514,19132,17264,17465,9958,12288,9247,8469,8454,8372,10342,7789,7214,7256,430,647,444,315,317,2345,2100,1694,1511,1647,6203,8419,6247,5850,5694,382,587,404,292,301,0.4648972057793902,12.69,3086.0,0.6837754966004532,0.04276096520463938,0.17680975869884016,White,White_Competitive,Competitive,False,False,False,False,True,False,False
