fips,TOT_POP_1519_C,TOT_POP_2024_C,TOT_POP_2529_C,TOT_POP_3034_C,TOT_POP_3539_C,TOT_FEMALE_1519_C,TOT_FEMALE_2024_C,TOT_FEMALE_2529_C,TOT_FEMALE_3034_C,TOT_FEMALE_3539_C,WA_FEMALE_1519_C,WA_FEMALE_2024_C,WA_FEMALE_2529_C,WA_FEMALE_3034_C,WA_FEMALE_3539_C,BA_FEMALE_1519_C,BA_FEMALE_2024_C,BA_FEMALE_2529_C,BA_FEMALE_3034_C,BA_FEMALE_3539_C,H_FEMALE_1519_C,H_FEMALE_2024_C,H_FEMALE_2529_C,H_FEMALE_3034_C,H_FEMALE_3539_C,NHWA_FEMALE_1519_C,NHWA_FEMALE_2024_C,NHWA_FEMALE_2529_C,NHWA_FEMALE_3034_C,NHWA_FEMALE_3539_C,NHBA_FEMALE_1519_C,NHBA_FEMALE_2024_C,NHBA_FEMALE_2529_C,NHBA_FEMALE_3034_C,NHBA_FEMALE_3539_C,dem2020_P,birth_rate_2020_N,births_2020_N,NHWA_FEMALE_2034_share_X,NHBA_FEMALE_2034_share_X,H_FEMALE_2034_share_X,race_category_X,regime_X,pol_group_X,reg_Minority_majority_X,reg_Mixed_Competitive_X,reg_Mixed_Democratic_X,reg_Mixed_Republican_X,reg_White_Competitive_X,reg_White_Democratic_X,reg_White_Republican_X
16055,10372,8799,10697,11166,11051,4955,4247,5257,5671,5513,4536,3950,4904,5359,5190,22,23,25,15,25,392,316,342,339,310,4217,3676,4625,5063,4913,18,20,21,10,20,0.2717426537158952,10.73,1830.0,0.8806589785831961,0.0033607907742998354,0.0657001647446458,White,White_Republican,Republican,False,False,False,False,False,False,True
17019,20268,32060,15058,13441,12530,9891,15175,7354,6613,6291,6616,9914,4791,4651,4527,1451,2000,1340,1046,932,1047,1257,621,616,561,5718,8843,4252,4121,4047,1398,1895,1320,1008,899,0.5998087069853482,10.06,2105.0,0.5907624734060806,0.14491112483700502,0.0855809484592684,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
17031,319171,326162,427721,420487,384921,157793,165898,216696,209083,192157,99927,104355,136464,134996,124343,40586,42352,52936,46939,43376,58564,54144,54788,50172,49967,46922,55059,86802,89361,78909,38355,40501,50975,45206,41522,0.7434776690447412,10.99,56119.0,0.3907909213979925,0.23100779648355438,0.2689034726717449,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
17043,61430,54586,56641,58809,64349,29893,26935,27889,28950,31602,23143,20956,21004,21431,23588,1891,1907,2123,2087,1999,6714,5669,5056,4712,5245,17060,15802,16351,17110,18791,1739,1773,1997,1941,1843,0.5797148652660048,10.21,9367.0,0.5880464105808485,0.06817150906009024,0.1842695824480149,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
17089,38444,32314,30355,30500,34169,18651,15915,14913,14977,16609,15687,13391,12497,12639,14180,1219,1152,1171,1079,1046,8284,7029,6153,5248,5708,8144,6963,6810,7772,8907,1003,986,1035,951,906,0.561360382273284,10.62,5637.0,0.47036349743477784,0.06488374631590438,0.4023578211985591,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
17091,7844,7192,6921,6287,6530,3859,3567,3400,3165,3259,3031,2856,2589,2472,2648,623,534,681,574,507,675,534,446,405,432,2426,2367,2172,2108,2265,598,515,669,558,488,0.4062161837200914,10.6,1151.0,0.6560402684563759,0.17193051717331229,0.13669561784445322,White,White_Competitive,Competitive,False,False,False,False,True,False,False
17097,56174,49800,41156,38706,44589,26183,22727,19462,19105,22110,20401,18002,14872,14334,16787,2172,2058,2190,2007,1816,8491,7195,6198,5268,5668,12830,11575,9269,9577,11667,1882,1829,2010,1823,1618,0.6105506961879483,9.53,6611.0,0.4963128528077789,0.09237445753254804,0.3044506803276014,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
17099,6897,6215,6539,6499,6919,3279,2874,3099,3045,3319,3049,2691,2901,2879,3156,88,72,80,62,55,562,428,364,360,402,2529,2298,2567,2542,2776,68,57,69,56,47,0.4187643447593812,9.93,1068.0,0.8213572854291418,0.0201818585052118,0.1277445109780439,White,White_Competitive,Competitive,False,False,False,False,True,False,False
17111,21727,17797,17343,17982,19851,10466,8634,8506,8761,9777,9497,7882,7805,8090,9033,192,166,193,177,179,2266,1778,1618,1526,1632,7385,6235,6304,6663,7499,154,143,170,156,157,0.4769006401064199,9.76,2986.0,0.7413613374001004,0.01810740898034825,0.19003127292382532,White,White_Competitive,Competitive,False,False,False,False,True,False,False
17113,14214,20674,11192,10430,10857,7450,10699,5580,5260,5374,6133,8869,4321,4212,4378,721,1062,643,543,461,651,729,414,316,291,5575,8251,3945,3926,4118,688,992,629,533,454,0.5049654030941817,9.92,1699.0,0.7485027160035285,0.10000464274107433,0.06773759227447886,White,White_Competitive,Competitive,False,False,False,False,True,False,False
17115,6570,6149,6382,5939,6038,3240,3177,3295,3098,3145,2254,2199,2279,2268,2423,740,744,831,672,598,129,122,77,87,108,2153,2104,2220,2196,2335,726,731,824,667,590,0.4018424782344604,12.16,1253.0,0.6812957157784744,0.23218390804597702,0.029885057471264367,White,White_Competitive,Competitive,False,False,False,False,True,False,False
17119,17873,15640,16679,17660,17323,8758,7905,8360,8887,8673,7160,6354,6845,7553,7516,1103,1051,1155,1054,882,509,445,375,389,370,6720,5962,6516,7201,7195,1083,1036,1140,1042,866,0.421732694565368,9.88,2596.0,0.7824029898218829,0.12794211195928754,0.04806774809160305,White,White_Competitive,Competitive,False,False,False,False,True,False,False
17143,11846,10994,12204,11967,11616,5845,5612,6161,6108,5787,3853,3719,4076,4202,4118,1366,1384,1599,1373,1141,486,419,361,339,352,3471,3402,3770,3918,3825,1337,1345,1580,1344,1119,0.5189525204530028,12.58,2234.0,0.6202113975728427,0.2387450366310609,0.06258039259549242,White,White_Competitive,Competitive,False,False,False,False,True,False,False
17161,9260,8734,8844,8711,8939,4481,4317,4474,4234,4302,3503,3403,3428,3358,3497,556,572,701,563,486,936,834,690,574,638,2701,2687,2812,2837,2936,507,532,668,542,456,0.5496120315168219,11.26,1586.0,0.64,0.13374280230326296,0.16107485604606525,White,White_Competitive,Competitive,False,False,False,False,True,False,False
17163,16676,14701,16617,16570,17353,8031,7227,8409,8661,8922,4606,4066,4733,5334,5734,2900,2695,3202,2935,2784,561,425,434,530,547,4173,3725,4372,4878,5278,2839,2661,3176,2894,2740,0.5334098414408507,11.16,2879.0,0.5340165452525003,0.35934477507511214,0.05716755154957402,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
17167,12336,11050,11852,12264,12881,6022,5539,6183,6359,6701,4448,4069,4570,4985,5412,1110,1022,1187,1053,953,184,238,247,279,190,4291,3867,4373,4747,5246,1099,1005,1173,1034,947,0.4669791507560715,11.17,2165.0,0.7182677949228472,0.17764504175654,0.04225430009402135,White,White_Competitive,Competitive,False,False,False,False,True,False,False
17179,8159,6602,7452,7869,8775,3991,3180,3669,3839,4288,3736,3020,3434,3682,4114,58,46,60,59,53,158,108,103,105,124,3607,2925,3343,3582,4005,54,42,57,57,49,0.3594247813242194,9.6,1256.0,0.9215943113772455,0.014595808383233533,0.029565868263473054,White,White_Republican,Republican,False,False,False,False,False,False,True
17197,52540,44098,41256,40921,46346,25329,21369,20271,20196,23182,19335,16436,15347,15535,17913,3286,3112,3197,2740,2888,6334,5294,4802,4317,4717,13569,11564,10924,11566,13574,3091,2968,3049,2588,2753,0.5329247620289477,9.91,6823.0,0.5507147939711495,0.13915841904392262,0.23308428747008214,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
17201,18367,16931,18217,17442,17241,8893,8527,9261,8963,8789,6457,6270,6715,6697,6826,1540,1534,1853,1661,1354,2116,1834,1593,1360,1340,4612,4641,5319,5521,5655,1446,1454,1774,1572,1301,0.5015778057928572,11.99,3373.0,0.5787073380434377,0.1794325445777728,0.17894658143620798,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
18003,26347,24919,27761,26071,25027,12974,12491,13978,13239,12648,9502,9291,10662,10325,9903,1822,1747,1897,1718,1532,1698,1304,1232,1104,1101,8108,8227,9629,9397,8976,1702,1651,1814,1648,1461,0.432860978696727,13.6,5198.0,0.6863352473053289,0.12876498438601794,0.09166918505087136,White,White_Competitive,Competitive,False,False,False,False,True,False,False
18035,9613,15390,7038,5984,5836,5038,7998,3519,2961,2967,4371,6925,3041,2624,2607,392,547,289,229,231,212,303,142,120,129,4192,6645,2931,2521,2499,379,537,278,224,221,0.4248511132784129,9.4,1067.0,0.8355435833678685,0.07176405580881337,0.03902472717226136,White,White_Competitive,Competitive,False,False,False,False,True,False,False
18039,15277,13054,13519,12754,12610,7494,6420,6748,6395,6291,6520,5578,5871,5701,5601,492,414,490,385,389,2197,1565,1275,1108,1296,4500,4145,4697,4693,4444,433,380,455,353,347,0.3509753048247677,14.06,2898.0,0.6918673005162808,0.06072688238000307,0.20180953841435362,White,White_Republican,Republican,False,False,False,False,False,False,True
18057,25050,18684,18848,21787,26730,12214,9337,9588,11304,13800,10235,7816,8101,9579,11736,610,486,546,538,645,886,674,569,636,890,9454,7212,7614,9007,10919,576,466,517,516,609,0.4556209052623982,10.44,3595.0,0.7884150980846207,0.049588143835389856,0.06215885408051871,White,White_Competitive,Competitive,False,False,False,False,True,False,False
18063,12188,9851,10291,11421,12782,5797,4666,4955,5627,6373,4758,3971,4211,4736,5384,586,390,429,517,562,348,278,287,314,371,4474,3729,3963,4469,5079,562,374,413,501,545,0.3683859668945257,9.86,1709.0,0.7975472193074502,0.0844700944386149,0.05764690451206716,White,White_Republican,Republican,False,False,False,False,False,False,True
18081,10673,9621,10680,10856,11324,5049,4669,5347,5476,5697,4534,4154,4759,4758,5037,157,135,169,218,208,324,216,231,191,254,4265,3965,4555,4596,4797,128,130,162,201,198,0.3186889639001262,11.31,1817.0,0.8466305189775368,0.03182287632326362,0.04118254583010586,White,White_Republican,Republican,False,False,False,False,False,False,True
18089,33403,29320,30946,29827,32527,16206,14526,15683,15283,16701,10536,9462,10352,10313,11598,4695,4167,4518,4293,4350,4521,3843,3685,3255,3636,6641,6099,7125,7429,8420,4344,3899,4268,4081,4100,0.5677044499809053,11.16,5442.0,0.4539919106656115,0.26923415105952697,0.23703068671414754,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
18091,6353,6737,7534,7184,7037,3052,2991,3244,3132,3095,2431,2427,2687,2681,2675,415,395,402,337,331,347,306,231,300,239,2128,2168,2477,2410,2460,398,385,396,331,321,0.4540613864593456,10.43,1144.0,0.7531760435571688,0.11871463648980464,0.08935625066723604,White,White_Competitive,Competitive,False,False,False,False,True,False,False
18095,8038,7554,8318,8235,8028,3803,3584,3975,3918,3772,3252,3101,3515,3476,3360,343,336,327,322,301,363,262,157,156,198,2946,2863,3373,3341,3188,328,330,321,312,294,0.3769621377406213,10.93,1418.0,0.8344515117190904,0.08390694432342946,0.050100200400801605,White,White_Republican,Republican,False,False,False,False,False,False,True
18097,62787,66952,85009,78431,68724,31088,34738,43912,40322,35082,18181,21191,27002,24608,21382,10092,10373,13101,12353,10810,6252,5449,4918,4355,4297,12794,16621,22774,20921,17750,9663,9959,12731,11969,10440,0.6359340791901832,14.18,13702.0,0.5069764314292439,0.29132064687489495,0.12374340180882897,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
18105,13241,24761,11091,8998,8116,6713,12313,5233,4216,3941,5509,9929,4330,3625,3411,298,576,271,186,171,333,615,285,223,232,5218,9380,4085,3435,3218,286,540,257,175,148,0.6312014061535051,7.54,1118.0,0.7765830346475507,0.04466501240694789,0.051603712894035474,White,White_Democratic,Democratic,False,False,False,False,False,True,False
18127,11719,10600,10219,10436,11842,5590,5223,5052,5243,5914,4993,4635,4541,4729,5338,324,317,331,321,354,892,810,669,652,798,4172,3904,3923,4127,4611,291,285,312,295,319,0.4594435261071102,9.32,1594.0,0.7703312282510633,0.05748163423121536,0.13732439747390127,White,White_Competitive,Competitive,False,False,False,False,True,False,False
18141,20713,20840,18795,17596,17045,10282,10823,9338,8818,8465,7726,8312,7023,6762,6576,1531,1500,1625,1466,1293,1452,1348,1023,863,776,6472,7141,6165,6015,5902,1445,1424,1547,1409,1249,0.5197591072389316,11.97,3251.0,0.6667241795783153,0.15114393181269195,0.1115980537630698,White,White_Competitive,Competitive,False,False,False,False,True,False,False
18157,18555,31714,14637,11671,10466,8635,13746,6967,5610,5051,6921,10846,5367,4526,4257,550,803,740,554,338,1003,1040,804,591,562,5985,9917,4659,3983,3739,531,755,697,531,323,0.4901046915239055,10.68,2094.0,0.705048816624245,0.07533335865972723,0.09250465372487938,White,White_Competitive,Competitive,False,False,False,False,True,False,False
18163,11493,12003,12849,12407,11784,5777,6168,6433,6267,5739,4628,5045,5345,5357,4874,672,696,737,644,596,352,273,220,216,198,4321,4804,5158,5177,4702,651,686,727,624,587,0.4431382143133063,11.69,2133.0,0.8023637905448379,0.10796056815772737,0.03757684969260123,White,White_Competitive,Competitive,False,False,False,False,True,False,False
18167,7932,11558,7362,6281,6427,3773,5624,3405,2825,2939,3136,4580,2939,2516,2684,379,615,264,156,130,111,149,91,102,74,3045,4457,2863,2427,2620,373,608,256,154,126,0.4157223471119879,10.57,1127.0,0.8222540914459254,0.08587818457904504,0.02885102075248861,White,White_Competitive,Competitive,False,False,False,False,True,False,False
19013,8968,14377,9076,7904,8081,4693,7366,4346,3801,3966,3811,6318,3482,3054,3295,491,522,551,453,446,334,400,276,191,197,3523,6006,3242,2886,3119,478,502,538,445,437,0.5352965026354122,12.55,1642.0,0.7821826854895894,0.09572616515180817,0.055888609553277895,White,White_Competitive,Competitive,False,False,False,False,True,False,False
19103,13563,23399,12597,10294,10029,7076,12027,6076,4951,4869,5670,9757,4720,3922,3892,488,702,625,483,493,531,828,473,358,310,5202,9019,4303,3599,3617,470,683,604,471,485,0.7057399434711572,10.57,1625.0,0.7339724125965126,0.07625574737572656,0.07196148173852694,White,White_Democratic,Democratic,False,False,False,False,False,True,False
19113,15085,14857,15714,15042,15898,7447,7422,7746,7473,7798,6221,6195,6453,6272,6748,557,615,701,628,572,423,445,408,318,317,5860,5820,6089,5984,6493,529,593,684,617,542,0.5560576817461438,11.45,2609.0,0.790291948235502,0.08365354887151627,0.051720330374100086,White,White_Competitive,Competitive,False,False,False,False,True,False,False
19153,31867,30788,37630,36731,36955,15799,15558,18713,18125,18017,12525,12431,15228,15000,15311,1522,1369,1558,1479,1251,2379,2063,1861,1569,1630,10391,10572,13513,13512,13788,1452,1325,1526,1453,1237,0.565206469440204,12.71,6283.0,0.7175547751736774,0.08214367508970151,0.10483624704175891,White,White_Competitive,Competitive,False,False,False,False,True,False,False
19163,11431,10050,10947,11331,12174,5682,5047,5471,5809,6074,4529,4116,4416,4815,5104,572,475,621,583,534,563,488,487,430,458,4070,3722,3994,4449,4692,537,451,593,559,512,0.5067657318113586,11.54,1999.0,0.7450848288111717,0.09818092729834017,0.08605377595394133,White,White_Competitive,Competitive,False,False,False,False,True,False,False
19193,7855,7117,6909,6680,6990,3800,3535,3294,3173,3350,3124,2952,2706,2638,2815,178,198,231,228,223,888,852,655,568,553,2370,2194,2127,2121,2324,160,185,221,223,211,0.4123274987875314,13.91,1435.0,0.6440711857628474,0.06288742251549691,0.20745850829834034,White,White_Competitive,Competitive,False,False,False,False,True,False,False
20091,39911,34642,40848,41598,45827,19163,17286,20002,20629,22901,15921,14355,16393,17284,19526,1068,1021,1245,1240,1372,2547,2149,2059,1942,2204,13637,12373,14547,15484,17471,989,974,1172,1188,1303,0.5306784864665596,11.25,6830.0,0.7321511818637015,0.05756513631576221,0.10618643921473833,White,White_Competitive,Competitive,False,False,False,False,True,False,False
20173,35933,35325,37977,35574,35215,17430,17081,18793,17807,17726,13226,12973,14559,14071,14230,1823,1706,1936,1840,1604,4255,3622,3254,2871,2682,9555,9792,11681,11524,11817,1658,1580,1818,1739,1520,0.4285880333321412,12.54,6520.0,0.6146867606788249,0.09569493861887819,0.18157262346081482,White,White_Competitive,Competitive,False,False,False,False,True,False,False
20177,11850,10654,10974,10827,11472,5688,5477,5579,5561,5879,4432,4258,4463,4593,4978,564,618,582,506,465,1187,975,856,742,698,3472,3462,3740,3982,4396,493,551,518,456,416,0.502177288487806,11.33,1994.0,0.6730456761148221,0.09177348498525606,0.15484142745381235,White,White_Competitive,Competitive,False,False,False,False,True,False,False
20209,11763,10654,12640,12135,11704,5681,5347,6292,5936,5704,3755,3535,4104,3866,3846,1235,1150,1329,1228,1180,2701,2229,1910,1717,1678,1351,1517,2354,2317,2326,1126,1068,1274,1170,1102,0.6478471427313551,14.99,2478.0,0.35209103840682787,0.19982930298719773,0.3332005689900427,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
21067,23117,32535,25627,22756,22124,11514,16471,12594,11177,10906,8390,12696,9577,8540,8276,1990,2344,1940,1705,1758,1246,1152,1033,945,890,7326,11732,8669,7718,7496,1884,2265,1887,1642,1696,0.5932374364617723,11.32,3676.0,0.6987475771581929,0.1439789274886934,0.07777943442174842,White,White_Competitive,Competitive,False,False,False,False,True,False,False
21111,47248,47785,58480,56690,52535,23312,23876,29376,28573,26398,14734,15816,19936,19921,18544,6619,6226,7290,6618,6171,2148,1924,2443,2352,2172,12813,14108,17728,17782,16603,6475,6101,7133,6480,6013,0.5912772311334316,12.35,9480.0,0.6063916895814238,0.24092881148793155,0.08211426825542316,White,White_Competitive,Competitive,False,False,False,False,True,False,False
21117,10351,9757,12530,12535,11482,4965,4817,6225,6208,5719,4322,4311,5573,5650,5266,277,262,365,313,263,310,330,310,285,205,4066,4013,5312,5398,5085,256,251,337,303,248,0.3929580552443124,12.98,2180.0,0.8535072463768116,0.05165217391304348,0.0536231884057971,White,White_Republican,Republican,False,False,False,False,False,False,True
22017,14593,13621,15777,15819,15463,7222,6995,8219,8257,8133,2725,2725,3219,3402,3352,4213,3974,4664,4570,4485,281,295,254,318,262,2506,2489,3013,3161,3156,4177,3952,4631,4508,4436,0.5252973921000458,12.31,2923.0,0.36909377529717524,0.5577521196369989,0.036939201567892294,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
22019,13857,13040,15733,15492,14711,6661,6567,7946,7962,7437,4253,4212,5401,5635,5176,2030,2037,2240,2024,1987,416,388,506,456,469,3896,3873,4988,5245,4755,2009,2011,2174,1995,1965,0.3143123283694035,13.11,2666.0,0.6276307007786429,0.274972191323693,0.060066740823136816,White,White_Republican,Republican,False,False,False,False,False,False,True
22033,35580,47767,34119,29605,30323,18317,24736,17232,14986,15567,8122,11835,7055,6615,6942,9144,11378,9267,7509,7823,1129,1426,1044,986,974,7189,10642,6231,5798,6125,9035,11249,9114,7395,7729,0.5551728775782728,12.7,5583.0,0.3980580819608807,0.48737577694279594,0.06068054921515609,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
22051,24391,23743,29976,31443,30488,11877,11987,15432,16120,15347,6740,6926,8813,9576,9466,4193,4154,5492,5312,4706,2250,2184,2759,3048,2971,4815,5058,6463,6887,6837,3994,3945,5208,5050,4457,0.4360485823272235,12.26,5300.0,0.42279335767932197,0.3262132800477733,0.18353659937067915,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
22055,14434,14549,18021,19776,18224,7054,7378,9001,9838,9105,4395,4609,5687,6700,6197,2294,2457,2941,2721,2516,537,525,467,583,517,3930,4152,5297,6205,5756,2251,2417,2890,2662,2474,0.346530330681709,13.37,3296.0,0.5970934889575467,0.3039630773925316,0.06007552351527635,Mixed,Mixed_Republican,Republican,False,False,False,True,False,False,False
22071,23060,23332,29660,34073,31090,12050,12538,15958,18210,16218,3500,4053,5995,7654,6884,7887,7692,8958,9533,8489,836,945,1182,1432,1365,2917,3335,5079,6561,5848,7709,7520,8792,9301,8254,0.8314859491955303,11.23,4375.0,0.3206226180790477,0.5483877874363037,0.07620005994947116,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
22073,11005,10744,11203,11197,10437,5384,5449,5741,5785,5456,2802,2827,3008,3241,3150,2419,2444,2560,2376,2149,210,199,166,177,218,2633,2669,2878,3114,2971,2387,2423,2538,2349,2127,0.3746493942110285,12.82,1954.0,0.510220913107511,0.4306332842415317,0.03192930780559647,Mixed,Mixed_Republican,Republican,False,False,False,True,False,False,False
22079,8583,7656,8443,8190,8490,4174,3877,4246,4195,4326,2377,2212,2438,2537,2706,1564,1476,1638,1473,1459,163,144,160,140,149,2243,2098,2305,2415,2582,1555,1463,1635,1465,1450,0.330841756561624,12.74,1638.0,0.5534989446338692,0.37043351193375545,0.03604481246955674,Mixed,Mixed_Republican,Republican,False,False,False,True,False,False,False
22103,17533,13880,14076,15596,17805,8458,6742,7092,8120,9040,6645,5293,5583,6461,7300,1323,1132,1177,1301,1357,734,546,543,720,784,6016,4815,5112,5834,6599,1278,1100,1158,1276,1323,0.2694026122332453,11.15,2938.0,0.7179101758221736,0.1609729434271659,0.0823995627220552,White,White_Republican,Republican,False,False,False,False,False,False,True
22105,9331,8926,9836,9565,8848,4685,4541,4947,4785,4449,2733,2739,3065,3041,2875,1794,1676,1745,1618,1469,213,212,226,197,260,2553,2546,2862,2879,2635,1785,1670,1735,1604,1464,0.3275524184457432,14.16,1937.0,0.5806067399985988,0.3509423386814265,0.04448959574020878,Mixed,Mixed_Republican,Republican,False,False,False,True,False,False,False
22109,7179,6295,7231,7492,7580,3481,3078,3584,3793,3898,2243,1981,2336,2614,2797,752,728,835,790,739,210,187,191,216,301,2072,1816,2160,2427,2526,742,721,833,785,731,0.2421712802768166,12.96,1424.0,0.6124342419894787,0.22372070779531325,0.056814921090387376,White,White_Republican,Republican,False,False,False,False,False,False,True
23001,6912,6660,6684,6998,6829,3385,3315,3270,3585,3457,2851,2898,2970,3271,3181,338,237,174,174,128,108,104,77,80,76,2766,2814,2914,3202,3124,331,228,164,171,118,0.46523811930392,10.1,1096.0,0.8780727630285152,0.05535889872173058,0.02566371681415929,White,White_Competitive,Competitive,False,False,False,False,True,False,False
23005,17678,17671,20352,21167,20446,8553,8938,10224,10681,10102,7424,7790,9240,9691,9116,503,463,351,391,342,316,359,382,396,302,7146,7491,8927,9334,8852,495,449,319,373,327,0.6572220464081179,9.23,2753.0,0.8629159266829742,0.03823342157289817,0.038099386790872235,White,White_Democratic,Democratic,False,False,False,False,False,True,False
23011,7515,7469,7219,7390,7363,3754,3661,3542,3677,3753,3509,3392,3347,3485,3584,32,32,37,35,32,122,112,73,102,90,3400,3293,3281,3399,3509,31,29,34,32,26,0.4806444949390622,8.62,1060.0,0.9166360294117647,0.008731617647058824,0.026378676470588235,White,White_Competitive,Competitive,False,False,False,False,True,False,False
23019,9828,9884,9663,10383,9275,4647,4611,4768,5094,4635,4291,4265,4396,4776,4352,74,88,71,71,43,125,146,136,103,86,4183,4134,4285,4687,4281,66,87,65,70,40,0.4378461216955174,7.94,1204.0,0.9055482622814897,0.015338906930145788,0.02660125751399157,White,White_Competitive,Competitive,False,False,False,False,True,False,False
23031,11931,11020,12661,13411,12932,5863,5303,6290,6655,6438,5413,4906,5924,6308,6053,83,88,73,81,103,144,161,186,175,158,5295,4785,5776,6157,5915,80,82,69,71,100,0.5432533080996932,8.25,1725.0,0.9161551950898729,0.012165716790881192,0.028605874616396316,White,White_Competitive,Competitive,False,False,False,False,True,False,False
24003,34044,33521,38675,43368,43367,16618,15806,18814,21869,21552,11438,10903,12881,15092,14765,3415,3240,4051,4632,4786,2154,1828,1987,2277,2343,9730,9429,11254,13210,12860,3203,3075,3853,4424,4544,0.5581831746964798,11.7,6816.0,0.5999929189753758,0.20095947883658766,0.10784400502752749,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
24005,55615,51000,54877,59291,57009,27700,26029,28322,30759,29887,14942,13587,14774,16566,16140,9458,9458,10542,10929,10668,2521,1950,2040,2095,2428,13123,12191,13205,15010,14309,9110,9164,10255,10645,10296,0.6227743341077574,11.32,9352.0,0.47475032311126775,0.35323698742803433,0.07149571143226413,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
24013,11493,9834,9193,10359,11183,5626,4805,4470,5036,5532,4976,4296,4116,4618,4999,239,210,153,169,222,377,251,228,233,332,4641,4105,3910,4420,4713,228,196,147,156,208,0.3633717742980454,9.83,1663.0,0.8689120257144853,0.03486828313884425,0.04975193906784991,White,White_Republican,Republican,False,False,False,False,False,False,True
24017,11376,9906,10482,10671,11305,5514,4855,5247,5412,6004,1765,1684,1880,2069,2191,3142,2710,2914,2898,3283,438,371,417,445,535,1468,1421,1592,1752,1799,3057,2646,2833,2822,3180,0.6946635679009587,10.89,1790.0,0.3071419363155859,0.5350651024880753,0.07947660177903829,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
24021,18235,15847,15773,18204,19382,9017,7807,7742,9070,9689,6779,6113,6125,7135,7528,1171,966,900,1060,1134,1415,1127,965,1203,1396,5561,5133,5289,6102,6317,1077,885,834,981,1053,0.5334271881330906,11.18,2965.0,0.6711889191275031,0.1096713920142979,0.1338397172915228,White,White_Competitive,Competitive,False,False,False,False,True,False,False
24025,16237,14507,15517,16500,17874,7718,7148,7726,8304,9071,5466,5310,5794,6309,6952,1428,1276,1431,1461,1443,600,499,441,461,577,5025,4905,5449,5954,6487,1348,1226,1370,1398,1372,0.4257824625808106,10.02,2574.0,0.7035982397100699,0.1723185779618604,0.06044524980585037,White,White_Competitive,Competitive,False,False,False,False,True,False,False
24027,22663,18260,19116,20795,24391,10992,8866,9371,10647,12735,5356,4878,5034,5412,6167,2586,1991,2261,2513,2858,1069,899,1018,1026,1139,4559,4184,4228,4579,5257,2463,1882,2166,2407,2746,0.7070446078377818,10.21,3350.0,0.44976457554355354,0.22348012740617643,0.10189031990029082,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
24031,66421,58550,62004,68667,75053,32559,29254,31075,35073,38245,18746,16753,16832,19023,21129,7109,6892,7711,8389,8679,7952,7320,7026,7724,8250,12055,10692,11021,12486,14127,6454,6282,7136,7778,8026,0.7860880611080614,11.12,11696.0,0.35847256870925137,0.2221756357309071,0.23133686924802416,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
24033,61155,60903,68585,69901,67568,29948,30503,34662,34825,33767,9511,8290,8303,9169,9279,17606,19298,23234,22562,21520,7877,6535,6641,6940,7556,3356,3339,3315,3954,3499,16582,18371,22220,21534,20494,0.8925586376528463,12.43,11302.0,0.10609060906090609,0.6213121312131213,0.2011801180118012,Black,Minority_majority,Democratic,True,False,False,False,False,False,False
24043,9519,9049,9914,9883,9792,4539,4091,4581,4655,4517,3487,3186,3695,3789,3774,622,564,610,621,503,423,380,319,365,316,3130,2885,3448,3505,3522,591,519,561,566,468,0.3842488086280411,11.13,1683.0,0.7382006453065206,0.1235086666166429,0.07983792301343139,White,White_Republican,Republican,False,False,False,False,False,False,True
24510,33904,37206,54143,54990,43402,17340,19905,28402,28771,22959,4607,5994,10939,11367,8348,11568,12376,15329,15418,13130,1546,1519,1975,1929,1880,3467,4882,9487,9987,6948,11334,12082,14994,15035,12827,0.8728170099511078,12.63,7403.0,0.31599159293183526,0.5463426658709359,0.07035730039700044,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
25001,10801,11204,10471,10145,10529,5072,5079,4987,5042,5209,4416,4418,4292,4491,4657,224,222,372,263,259,283,223,211,253,259,4184,4244,4111,4291,4451,206,208,354,238,232,0.6071730291990073,6.63,1414.0,0.8370399788191687,0.052952078369075985,0.045472597299444,White,White_Democratic,Democratic,False,False,False,False,False,True,False
